5404611,Let's Groove,"Earth, Wind & Fire",
59509481,Man in the Mirror (2012 Remaster),Michael Jackson,
608749,Manic Monday,The Bangles,
5404528,"Never Gonna Give You Up (7"" Mix)",Rick Astley,
2323846,Nothing's Gonna Stop Us Now,Starship,
17941319,Physical,Olivia Newton-John,
5404604,Poison (Single Version),Alice Cooper,
17938636,The Boys Of Summer,Don Henley,
2167022,Sweet Dreams (Are Made of This),Eurythmics,
17795872,Tainted Love,Soft Cell,
7675055,"Take My Breath Away (Love Theme from ""Top Gun"")",Berlin,
664107,Take On Me,a-ha,
561785,There Must Be an Angel (Playing with My Heart) (Remastered Version),Eurythmics,
601886,Touch Me (I Want Your Body),Samantha Fox,
548673,Uptown Girl,Billy Joel,
5404526,Wake Me Up Before You Go-Go,Wham!,
547135,Walk Like an Egyptian,The Bangles,
6599483,You Can Call Me Al,Paul Simon,
864036,You Spin Me Round (Like a Record),Dead or Alive,
71521188,Two Tribes,Frankie Goes to Hollywood,
4762629,99 Red Balloons,Nena,
3116055,I Know What I Like (2006 Digital Remaster),Huey Lewis & The News,
14637893,Too Late For Goodbyes,Julian Lennon,
15177642,Born to Run,Bruce Springsteen,
15177641,Dancing in the Dark,Bruce Springsteen,
15176013,Glory Days,Bruce Springsteen,
3362498,Mary's Prayer,Danny Wilson,
15417669,Brest bay,Stand High Patrol,
17946332,Super Freak,Rick James,
17968746,Suite Madame Blue,Styx,
17838171,Tainted Love,Soft Cell,
100081638,My Heart Is Open,Maroon 5,
66533318,The Show Must Go On Remastered 2011,Queen,
3905056,Another Day In Paradise,Phil Collins,
8146782,One More Try (Remastered),George Michael,
68618080,"Cruel Summer (From ""The Karate Kid"")",Movie Soundtrack All Stars,
70996824,I Ran,A Flock of Seagulls,
79845880,Nothing's Gonna Stop Us Now,Starship,
79543148,Hold the Line,Toto,
17691006,Fields Of Gold,Sting,
89179583,Sledgehammer,Fifth Harmony,
2627636,Glory Of Love,Peter Cetera,
17606004,I'll Be There For You,Bon Jovi,
674958,Black Velvet,Alannah Myles,
600629,Never Gonna Give You Up,Rick Astley,
114394344,Amazing,Foxes,
103996098,How Deep Is Your Love,Calvin Harris,
105878272,One Call Away,Charlie Puth,
105771042,Hula Hoop,Omi,
112350074,Love Yourself,Justin Bieber,
102671422,Locked Away,R. City,
109765186,Perfect,One Direction,
99559724,Do It Again,Pia Mia,
95402892,2 Heads,Coleman Hell,
83083294,Animals,Maroon 5,
60698275,I Will Wait,Mumford & Sons,
17479801,Little Talks,Of Monsters And Men,
75541717,Jealous (I Ain't With It),Chromeo,
74114435,Million Years,Walter Schnitzelsson,
565262,Who Can It Be Now?,Men at Work,
62419007,Flashdance...What a Feeling (Radio Edit),Irene Cara,
18018084,Video Killed The Radio Star,The Buggles,
1131130,She's Like the Wind,Patrick Swayze,
576423,Burning Heart,Survivor,
72282091,Sally Simpson,The Who,
17985291,"Put A Little Love In Your Heart (From ""Scrooged"" Soundtrack)",Al Green,
13139973,Nothing's Gonna Stop Us Now,Starship,
3166724,Walking On Sunshine,Katrina & The Waves,
65813967,Gitano Soy,Manolo,
3153788,If You Leave,Orchestral Manoeuvres in the Dark,
3732426,Mrs. Robinson,Simon & Garfunkel,
7773014,Maniac (Flashdance) [Re-Recorded],Michael Sembello,
4298172,Voyage voyage,Desireless,
541879,Wake Me Up Before You Go-Go,Wham!,
17416525,Who's Holding Donna Now?,DeBarge,
7675051,Danger Zone,Kenny Loggins,
14611724,Boys Don't Cry,The Cure,
3821898,Shake Your Love,Debbie Gibson,
13177980,Let's Hear It for the Boy,Deniece Williams,
6069330,Crush On You,The Jets,
88611677,Jackie Don't Go,Survivor,
84221397,Raspberry Beret (Originally Performed by Prince & The Revolution) [Karaoke Version],Mega Tracks Karaoke Band,
698260,Big In Japan (Original),Alphaville,
94059234,Tú Me Vas A Llorar,Los Temerarios,
18055012,Rhythm Of The Night,DeBarge,
12270393,Rain Over Me,Pitbull,
9071507,Every Man Must Have a Dream,Liverpool Express,
87934783,Boys (Summertime Love),Sabrina,
5748701,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,
18023304,Joe le taxi,Vanessa Paradis,
7779621,Let's Hear It for the Boy,Deniece Williams,
58788581,Between The Raindrops,Lifehouse,
17447240,Les vieux mariés Album Version,Michel Sardou,
17604777,I Want You Back,Jackson 5,
776220,Ain't Nobody,Chaka Khan,
4286053,We Are the People,Empire Of The Sun,
13025820,Ca Fait Rire Les Oiseaux,La Compagnie Créole,
17609995,Sir Duke (Album Version),Stevie Wonder,
111509146,Les bourgeois,Jacques Brel,
3233981,Too Late For Goodbyes,Julian Lennon,
74602299,Come with Me Now,Kongos,
3133738,Wannabe (Radio Edit),Spice Girls,
8146779,Faith (Remastered),George Michael,
4008364,"Hey, Soul Sister",Train,
27517561,My Weakness,Kris Allen,
63456074,Closer,Tegan and Sara,
17611912,I Just Called To Say I Love You,Stevie Wonder,
105695982,S.O.B.,Nathaniel Rateliff & The Night Sweats,
532168,Home By Now/No Matter What,Meat Loaf,
100059620,Back It Up (Spanish Version),Prince Royce,
33876721,Yah-Mo Be There,James Ingram,
6470445,Turn Your Love Around,George Benson,
3821173,We're Not Gonna Take It (Remastered Album Version),Twisted Sister,
4605068,Islands In the Stream,Dolly Parton,
18053322,Hurts So Good (Album Version),John Mellencamp,
92720102,Thunderstruck,AC/DC,
674643,Just What I Needed,The Cars,
17730114,Valerie,Steve Winwood,
977948,I Want To Know What Love Is (2008 Remastered Version),Foreigner,
6071034,"Get Outta My Dreams, Get Into My Car",Billy Ocean,
18019424,Somebody For Me,Heavy D & The Boyz,
75820483,Amor,Julio Iglesias,
17940680,Luka,Suzanne Vega,
3822133,Turn Your Love Around,George Benson,
3102238,White Wedding - Part 1 (2001- Remaster),Billy Idol,
69505550,Train in Vain (Remastered),The Clash,
557641,Living After Midnight,Judas Priest,
90377203,Sunglasses At Night (Acoustic Version),Corey Hart,
3140135,Rebel Yell (1999 - Remaster),Billy Idol,
3140132,Dancing With Myself (EP Version;2001 Digital Remaster),Generation X,
17968748,Mr. Roboto,Styx,
70996821,Out of Touch,Daryl Hall & John Oates,
601891,I Only Wanna Be With You,Samantha Fox,
632329,Nothing's Gonna Stop Me Now,Samantha Fox,
601892,I Surrender (To the Spirit of the Night),Samantha Fox,
601904,I Promise You,Samantha Fox,
17976688,Sultans Of Swing,Dire Straits,
78069527,Walk Of Life,Dire Straits,
17691017,So Lonely,The Police,
111982980,Avec tes yeux (Pretty Face) (Bonus),Roch Voisine,
17609151,Someday I'll Be Saturday Night (Album Version),Bon Jovi,
108465260,Save A Prayer,Eagles of Death Metal,
3311523,Knocked Out,Paula Abdul,
3311522,The Way That You Love Me,Paula Abdul,
74706363,Let It Go (European Single Version),Luba,
77325365,Tribal Dance,2 Unlimited,
77325375,The Real Thing,2 Unlimited,
19271701,Beautiful Life,Ace of Base,
15670650,Ride On Time,Black Box,
1059111,Let The Beat Go On (Short),Dr. Alban,
1048736,Sing Hallelujah!,Dr. Alban,
1048727,It's My Life,Dr. Alban,
107313494,Scatman's World (Single Mix),Scatman John,
116266138,Boom Boom Boom Boom,Vengaboys,
15709162,Don't Talk Just Kiss,Right Said Fred,
61721045,Captain Jack (Short Mix),Captain Jack,
17968742,Come Sail Away,Styx,
17967242,Doctor Jones,Aqua,
71268850,Gilberto,Diane Tell,
14135964,Explota Corazón,Mercurio,
77508691,Sème la vie,Marjo,
77585561,Trop d'amour,Marjo,
77577464,Sans toît ni loi,Marjo,
1076536,Spirit Of America,Samantha Fox,
1075398,Love House,Samantha Fox,
541377,Mandy,Barry Manilow,
1076432,Copacabana (Remastered),Barry Manilow,
548678,We Didn't Start the Fire,Billy Joel,
863432,Turbo Lover,Judas Priest,
531795,"Femmes, je vous aime",Claude Barzotti,
531802,J'ai les bleus,Claude Barzotti,
531797,"Beau, j's'rai jamais beau",Claude Barzotti,
1041994,Où Tu Iras J'Irai,Claude Barzotti,
606065,Le chant des solitaires,Claude Barzotti,
981524,En ce temps-là,Claude Barzotti,
531793,Là où j'irai,Claude Barzotti,
2453323,Ami Ami,Claude Barzotti,
26088811,"The Heat Is On (From ""Beverly Hills Cop"" Soundtrack)",Glenn Frey,
858207,Smooth Operator (Single Version),Sade,
3245244,19,Paul Hardcastle,
113565128,Marie-Louise,Zebulon,
113553020,R'viens pas trop tard,Zebulon,
113553016,Sofa,Zebulon,
113553028,Y fait chaud,Zebulon,
113553036,Adrénaline,Zebulon,
113553032,Pas capable,Zebulon,
113553022,J't'aime encore,Zebulon,
113553034,Casino,Zebulon,
113553026,Apocalypse,Zebulon,
113553030,L'oeil du zig,Zebulon,
113553024,Le pédophile cybernétique,Zebulon,
113553038,Banque,Zebulon,
113565126,Les femmes préfèrent les ginos,Zebulon,
77622228,Remixer ma vie,Ginette Reno,
77621658,Rouler collés,Richard Desjardins,
77622636,La 20,Plume Latraverse,
77622516,Retour à la terre,Plume Latraverse,
3393957,Chinatown (2004 Digital Remaster),Beau Dommage,
869901,Je n'ai que mon âme,Natasha St-Pier,
76540186,L'ange vagabond,Richard Séguin,
76540190,Pleure à ma place,Richard Séguin,
76540185,Et tu marches,Richard Séguin,
76540184,Journée d'Amérique,Richard Séguin,
77524287,Quand on est en amour,Patrick Norman,
90777837,Dors Caroline,Johanne Blouin,
871442,Gitan,Garou,
871446,Que l'amour est violent,Garou,
86136455,Le quai d'une autre gare,Maxime Landry,
90777827,J'aurais voulu te dire,Johanne Blouin,
17608170,Back Off Bitch (Album Version Explicit),Guns N' Roses,
114374788,Get In The Ring,Guns N' Roses,
17605937,Nightrain,Guns N' Roses,
17605945,Anything Goes,Guns N' Roses,
82490288,Hair Of The Dog,Guns N' Roses,
17605950,Mama Kin (Live Version Explicit),Guns N' Roses,
17605954,One In A Million (Album Version),Guns N' Roses,
46327661,Débranche,France Gall,
3532529,Goodbye lover,Liane Foly,
8113520,C'est l'amour (Version originale),Léopold Nord & Vous,
561691,Ça va pas changer le monde,Joe Dassin,
77508413,Salut les amoureux,Joe Dassin,
77508418,Si tu t'appelles Mélancolie,Joe Dassin,
561686,Et si tu n'existais pas,Joe Dassin,
3116053,Back In Time (2006 Digital Remaster),Huey Lewis & The News,
17446537,Blood On The Bricks,Aldo Nova,
2477001,Holding Back the Years (2008 Remastered Version),Simply Red,
5662806,I'm Too Sexy,Right Said Fred,
1287248,I Think We're Alone Now (Re-Recorded),Tiffany,
3155191,How Do You Do!,Roxette,
977956,Heart Turns to Stone (2008 Remastered Version),Foreigner,
977933,"Long, Long Way from Home (2008 Remastered Version)",Foreigner,
546757,"I'm So Excited (12"" Remix)",The Pointer Sisters,
977946,Urgent (2008 Remastered Version),Foreigner,
17797117,Mr. Roboto,Styx,
1427569,Bette Davis Eyes,Kim Carnes,
17598766,The Best Of Times,Styx,
600164,Neutron Dance,The Pointer Sisters,
624003,She Works Hard for the Money (Live),Donna Summer,
8164645,Earth Song,Michael Jackson,
763336,Just A Gigolo / I Ain't Got Nobody,David Lee Roth,
18100179,Have You Ever Seen The Rain? (Album Version),Creedence Clearwater Revival,
119272044,Need You Tonight,Bonnie Raitt,
119272056,If You Need Somebody,Bonnie Raitt,
3874614,Don't You Want Me (2002 - Remaster),The Human League,
17604174,Video Killed The Radio Star (Single Version),The Buggles,
678356,A Love Bizarre,Sheila E,
79782640,Baby Hold On,Eddie Money,
79782644,You've Really Got a Hold On Me,Eddie Money,
79782688,Walk On Water,Eddie Money,
79782690,The Love In Your Eyes,Eddie Money,
79782692,Let Me In,Eddie Money,
79782698,Another Nice Day In L.A.,Eddie Money,
598889,"Get Outta My Dreams, Get Into My Car",Billy Ocean,
598905,Love Really Hurts Without You,Billy Ocean,
632338,I Wanna Have Some Fun,Samantha Fox,
632346,Naughty Girls (Need Love Too),Samantha Fox,
4209691,Gloria,Laura Branigan,
100598482,Want to Want Me,Jason Derulo,
509149,Les Boys,Éric Lapointe,
601889,Nothing's Gonna Stop Me Now,Samantha Fox,
17609962,You Are The Sunshine Of My Life (Album Version),Stevie Wonder,
